product_id,product_name,category,material,carbon_footprint_g,water_usage_L,recycled_content_pct,packaging_type,certifications,price_usd,manufacturer_country,eco_score,carbon_footprint_score,recyclability_score,packaging_score,sustainability_index,sustainability_index_normalized,raw_price_usd,product_description
1,Ancient Grains Quinoa Pack,Food,Ancient Grains,70,112,0,Plastic Film,None,0.0818262471848768,Japan,0.0,4.979550102249489,0.0,1.0,1.6938650306748464,30.094732320280855,15.04,Product Name: Ancient Grains Quinoa Pack. Category: Food. Material: Ancient Grains. Packaging: Plastic Film. Manufactured in: Japan. Eco Score: 0.0/5. Carbon Footprint Score: 5.0/5. Recyclability Score: 0.0/5. Packaging Score: 1.0/5. Overall Sustainability Index: 30.1/100.
2,Bamboo Fiber LED Desk Lamp,Electronics,Bamboo Fiber,2269,2891,0,Glass Jar,None,0.8599604176619122,China,1.2726276757121187,2.7310838445807772,1.5,3.0,2.1011134560878686,41.304373893863364,129.06,Product Name: Bamboo Fiber LED Desk Lamp. Category: Electronics. Material: Bamboo Fiber. Packaging: Glass Jar. Manufactured in: China. Eco Score: 1.3/5. Carbon Footprint Score: 2.7/5. Recyclability Score: 1.5/5. Packaging Score: 3.0/5. Overall Sustainability Index: 41.3/100.
3,Ancient Grains Quinoa Pack,Food,Ancient Grains,524,68,0,None,Fair Trade,0.07336381628335495,China,1.4863475476150345,4.515337423312883,1.5,5.0,3.1005054912783754,68.81295540554653,13.8,Product Name: Ancient Grains Quinoa Pack. Category: Food. Material: Ancient Grains. Packaging: None. Manufactured in: China. Eco Score: 1.5/5. Carbon Footprint Score: 4.5/5. Recyclability Score: 1.5/5. Packaging Score: 5.0/5. Overall Sustainability Index: 68.8/100.
4,Fair Trade Coffee Granola Bar,Food,Fair Trade Coffee,180,494,0,Glass Jar,None,0.11158124616119565,Brazil,0.0,4.867075664621677,1.5,3.0,2.360122699386503,48.433685145780316,19.4,Product Name: Fair Trade Coffee Granola Bar. Category: Food. Material: Fair Trade Coffee. Packaging: Glass Jar. Manufactured in: Brazil. Eco Score: 0.0/5. Carbon Footprint Score: 4.9/5. Recyclability Score: 1.5/5. Packaging Score: 3.0/5. Overall Sustainability Index: 48.4/100.
5,Cork Bento Box,Home Goods,Cork,976,395,80,None,Fair Trade,0.09411042107418276,Germany,1.4036743637282993,4.0531697341513295,3.1,5.0,3.2570532293638887,73.12198135528214,16.84,Product Name: Cork Bento Box. Category: Home Goods. Material: Cork. Packaging: None. Manufactured in: Germany. Eco Score: 1.4/5. Carbon Footprint Score: 4.1/5. Recyclability Score: 3.1/5. Packaging Score: 5.0/5. Overall Sustainability Index: 73.1/100.
6,Organic Cocoa Herbal Tea Bag,Food,Organic Cocoa,130,429,95,Paper Box,None,0.033235514911622195,Portugal,1.8950783751896174,4.918200408997954,2.4,2.0,2.9239836352562714,63.95413554908049,7.92,Product Name: Organic Cocoa Herbal Tea Bag. Category: Food. Material: Organic Cocoa. Packaging: Paper Box. Manufactured in: Portugal. Eco Score: 1.9/5. Carbon Footprint Score: 4.9/5. Recyclability Score: 2.4/5. Packaging Score: 2.0/5. Overall Sustainability Index: 64.0/100.
7,Organic Canvas Casual Sneakers,Footwear,Organic Canvas,2379,1161,100,Glass Jar,Fair Trade,0.3647034736913943,Germany,3.2100117984156413,2.6186094069529653,3.5,3.0,3.048586361610582,67.38386495836292,56.49,Product Name: Organic Canvas Casual Sneakers. Category: Footwear. Material: Organic Canvas. Packaging: Glass Jar. Manufactured in: Germany. Eco Score: 3.2/5. Carbon Footprint Score: 2.6/5. Recyclability Score: 3.5/5. Packaging Score: 3.0/5. Overall Sustainability Index: 67.4/100.
8,Cork Boots,Footwear,Cork,1519,1337,80,None,Fair Trade,0.4683000068245411,Japan,1.1655149165683465,3.497955010224949,3.1,5.0,3.0190409780379888,66.57061894110234,71.67,Product Name: Cork Boots. Category: Footwear. Material: Cork. Packaging: None. Manufactured in: Japan. Eco Score: 1.2/5. Carbon Footprint Score: 3.5/5. Recyclability Score: 3.1/5. Packaging Score: 5.0/5. Overall Sustainability Index: 66.6/100.
9,Hemp Dress,Apparel,Hemp,814,4884,100,Glass Jar,Fair Trade,0.1349894219613731,France,1.268751053429968,4.21881390593047,3.5,3.0,2.9462694878081312,64.56756068145441,22.83,Product Name: Hemp Dress. Category: Apparel. Material: Hemp. Packaging: Glass Jar. Manufactured in: France. Eco Score: 1.3/5. Carbon Footprint Score: 4.2/5. Recyclability Score: 3.5/5. Packaging Score: 3.0/5. Overall Sustainability Index: 64.6/100.
10,Hemp T-Shirt,Apparel,Hemp,1191,5514,0,Plastic Film,OEKO-TEX,0.6342045997406675,Portugal,0.6094724422720377,3.833333333333333,0.0,1.0,1.532841732681611,25.662515170098544,95.98,Product Name: Hemp T-Shirt. Category: Apparel. Material: Hemp. Packaging: Plastic Film. Manufactured in: Portugal. Eco Score: 0.6/5. Carbon Footprint Score: 3.8/5. Recyclability Score: 0.0/5. Packaging Score: 1.0/5. Overall Sustainability Index: 25.7/100.
